rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
27,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,49,59.18,7998.29,79.98,7120.53,71.21,3.56,3.04,1.225,-916.25,5,19.28,volume>1.4xSMA30,107.85
28,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2.5_hold32_all_none,1h,195,40.00,7994.23,79.94,5616.35,56.16,1.55,1.35,0.315,-2116.78,9,17.80,none,-0.37
29,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,52,53.85,7975.75,79.76,7040.76,70.41,3.09,2.65,1.154,-1484.54,9,19.51,volume>1.4xSMA30,47.88
30,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,52,53.85,7975.75,79.76,7040.76,70.41,3.09,2.65,1.154,-1484.54,9,19.51,volume>1.4xSMA30,47.88
31,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold16_long_only_none,1h,54,61.11,7897.92,78.98,6964.19,69.64,3.57,3.02,1.098,-544.67,3,16.34,none,118.79
32,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold16_all_none,1h,93,41.94,7846.95,78.47,6412.41,64.12,2.05,1.78,0.644,-910.86,6,19.43,none,57.24
33,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold16_long_only_none,1h,58,51.72,7838.76,78.39,6818.48,68.18,2.86,2.45,1.022,-1115.38,7,19.51,none,65.55
34,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target3_hold32_all_none,1h,104,39.42,7837.89,78.38,6132.28,61.32,1.93,1.65,0.577,-851.80,6,19.70,none,51.39
35,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target3_hold64_all_none,1h,104,39.42,7837.89,78.38,6132.28,61.32,1.93,1.65,0.577,-851.80,6,19.70,none,51.39
36,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,49,55.10,7806.53,78.07,6931.01,69.31,3.27,2.79,1.204,-1300.53,8,19.55,volume>1.4xSMA30,62.92
37,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,49,55.10,7806.53,78.07,6931.01,69.31,3.27,2.79,1.204,-1300.53,8,19.55,volume>1.4xSMA30,62.92
38,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold8_long_only_none,1h,58,53.45,7797.21,77.97,6778.67,67.79,2.93,2.50,1.017,-802.99,5,19.56,none,91.31
