rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
141,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold24_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,841.31,8.41,10.87,7.31,1.188,-100.00,1,48.61,volume>1.25xSMA30,142.01
142,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold48_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,841.31,8.41,10.87,7.31,1.188,-100.00,1,48.61,volume>1.25xSMA30,142.01
143,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold96_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,841.31,8.41,10.87,7.31,1.188,-100.00,1,48.61,volume>1.25xSMA30,142.01
144,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target3.5_hold12_short_only_none,1h,10,80.00,1665.54,16.66,1513.44,15.13,8.98,6.87,1.567,-108.68,1,66.02,none,141.28
145,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target3.5_hold48_short_only_none,1h,10,70.00,2344.91,23.45,2189.10,21.89,8.19,6.57,2.150,-226.07,2,51.62,none,140.58
146,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target3.5_hold96_short_only_none,1h,10,70.00,2344.91,23.45,2189.10,21.89,8.19,6.57,2.150,-226.07,2,51.62,none,140.58
147,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target3.5_hold96_short_only_none,1h,10,70.00,2344.91,23.45,2224.58,22.25,7.65,6.51,2.150,-352.75,3,52.13,none,139.10
148,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target3.5_hold96_all_none,1h,8,75.00,1477.50,14.78,1436.27,14.36,7.60,7.12,1.755,-112.01,1,76.63,none,138.52
149,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop2_target1.5_hold48_all_none,1h,8,87.50,740.92,7.41,699.90,7.00,7.93,7.19,0.901,-106.89,1,63.70,none,137.54
150,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.5_target3.5_hold24_short_only_volume>1.25xSMA30,1h,8,75.00,1399.40,13.99,1272.31,12.72,9.54,7.10,1.665,-109.51,1,78.44,volume>1.25xSMA30,135.56
