rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
521,SOLUSDT,range_expansion_breakout,ch12_rng1.35_stop1.7_target2_hold64_all_none,1h,97,44.33,3737.70,37.38,2895.45,28.95,1.56,1.41,0.339,-629.78,4,21.56,none,37.56
522,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target1.5_hold16_long_only_volume>1.4xSMA30,1h,51,62.75,3134.88,31.35,2618.40,26.18,2.32,2.02,0.543,-841.94,5,18.63,volume>1.4xSMA30,37.52
523,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target1.5_hold32_all_none,1h,101,52.48,3690.28,36.90,2802.50,28.02,1.64,1.46,0.319,-803.49,4,16.31,none,37.43
524,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold12_short_only_none,1h,49,57.14,4131.61,41.32,2807.67,28.08,2.67,1.92,0.719,-705.86,5,19.86,none,37.36
525,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.1_target2_hold64_short_only_none,1h,90,47.78,4401.79,44.02,3646.89,36.47,1.76,1.59,0.417,-756.12,5,19.24,none,37.24
526,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target1.5_hold64_all_none,1h,101,52.48,3670.51,36.71,2780.51,27.81,1.63,1.45,0.318,-805.60,4,16.42,none,36.98
527,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.5_target1.5_hold64_short_only_none,1h,87,52.87,3032.14,30.32,2522.65,25.23,1.65,1.51,0.313,-484.11,4,18.95,none,36.89
528,SUIUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target3_hold16_all_none,1h,87,44.83,3352.42,33.52,2798.93,27.99,1.59,1.47,0.346,-1124.51,4,34.91,none,36.86
529,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold24_short_only_none,1h,49,57.14,4097.56,40.98,2775.15,27.75,2.64,1.90,0.714,-705.86,5,19.98,none,36.58
530,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold48_short_only_none,1h,49,57.14,4097.56,40.98,2775.15,27.75,2.64,1.90,0.714,-705.86,5,19.98,none,36.58
531,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold96_short_only_none,1h,49,57.14,4097.56,40.98,2775.15,27.75,2.64,1.90,0.714,-705.86,5,19.98,none,36.58
532,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target3_hold8_all_none,1h,80,48.75,4112.77,41.13,3488.87,34.89,1.81,1.65,0.445,-1002.25,5,29.78,none,36.58
533,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold12_short_only_volume>1.25xSMA30,1h,32,53.13,3189.84,31.90,2301.77,23.02,2.88,2.08,0.884,-576.75,5,30.02,volume>1.25xSMA30,36.55
534,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold16_all_none,1h,83,49.40,4154.61,41.55,3411.60,34.12,1.87,1.66,0.430,-984.15,5,19.56,none,36.23
535,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.7_target2_hold16_all_volume>1.4xSMA30,1h,61,52.46,3440.59,34.41,2911.83,29.12,2.04,1.82,0.496,-655.04,5,22.67,volume>1.4xSMA30,36.05
536,SUIUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target3_hold16_all_none,1h,78,44.87,3061.00,30.61,2573.78,25.74,1.62,1.49,0.357,-851.78,4,37.55,none,35.95
537,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.1_target2.5_hold64_short_only_none,1h,89,41.57,4431.81,44.32,3673.00,36.73,1.68,1.52,0.427,-765.13,5,24.02,none,35.94
538,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1_target2.5_hold8_all_none,1h,96,45.83,4645.93,46.46,3705.76,37.06,1.72,1.53,0.411,-973.23,5,22.66,none,35.93
539,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target3_hold64_short_only_none,1h,91,37.36,4737.63,47.38,3772.97,37.73,1.65,1.48,0.445,-786.19,5,27.37,none,35.80
540,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2_hold32_all_none,1h,101,47.52,5187.05,51.87,3720.99,37.21,1.76,1.49,0.426,-736.74,5,17.00,none,35.62
541,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2_hold64_all_none,1h,101,47.52,5187.05,51.87,3720.99,37.21,1.76,1.49,0.426,-736.74,5,17.00,none,35.62
542,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2_hold16_all_none,1h,89,50.56,3951.14,39.51,3422.72,34.23,1.75,1.62,0.384,-1049.64,5,20.61,none,35.03
543,SOLUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target3_hold16_all_volume>1.4xSMA30,1h,69,47.83,3033.18,30.33,2451.13,24.51,1.72,1.54,0.398,-1180.18,4,39.49,volume>1.4xSMA30,34.97
544,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold64_all_none,1h,71,43.66,3898.81,38.99,3260.89,32.61,1.82,1.64,0.479,-659.07,5,25.88,none,34.90
545,SOLUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target3_hold16_all_none,1h,75,44.00,3118.89,31.19,2499.87,25.00,1.65,1.48,0.376,-963.53,4,37.11,none,34.70
546,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target1.5_hold8_short_only_none,1h,101,53.47,3420.48,34.20,2448.01,24.48,1.72,1.47,0.298,-667.50,4,17.26,none,34.63
547,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target2.5_hold12_short_only_none,1h,42,52.38,3261.16,32.61,2466.68,24.67,2.45,1.93,0.688,-575.06,5,29.23,none,34.40
548,XRPUSDT,range_expansion_breakout,ch36_rng1.1_stop1.7_target2_hold32_all_none,1h,77,48.05,3887.25,38.87,3241.32,32.41,1.82,1.63,0.438,-758.79,5,20.81,none,34.38
549,SUIUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold16_all_none,1h,85,44.71,3094.46,30.94,2562.88,25.63,1.57,1.45,0.331,-967.82,4,37.09,none,34.36
550,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target2.5_hold16_short_only_none,1h,66,48.48,3703.52,37.04,2974.10,29.74,2.00,1.73,0.491,-628.90,5,26.80,none,34.35
551,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop1.1_target1.5_hold64_all_volume>1.5xSMA30,1h,91,54.95,3731.73,37.32,3148.25,31.48,1.80,1.64,0.357,-492.36,5,16.18,volume>1.5xSMA30,34.17
552,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target3_hold16_short_only_none,1h,66,45.45,3750.56,37.51,3022.19,30.22,1.95,1.69,0.499,-559.28,5,31.46,none,34.16
553,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold16_all_none,1h,73,47.95,3484.26,34.84,3064.59,30.65,1.82,1.69,0.422,-714.52,5,28.06,none,34.11
554,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target1.5_hold64_short_only_none,1h,100,53.00,3617.24,36.17,2495.53,24.96,1.68,1.42,0.317,-596.08,4,16.52,none,34.08
555,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.8_target2_hold8_short_only_none,1h,141,47.52,4261.87,42.62,2762.07,27.62,1.52,1.31,0.261,-564.96,4,19.46,none,33.84
556,XRPUSDT,range_expansion_breakout,ch36_rng0.9_stop1.7_target2_hold32_all_none,1h,82,47.56,4019.17,40.19,3320.40,33.20,1.77,1.60,0.424,-907.60,5,20.32,none,33.82
557,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.1_target2_hold32_short_only_none,1h,93,48.39,4169.57,41.70,3407.86,34.08,1.72,1.55,0.386,-840.69,5,20.07,none,33.80
558,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold32_all_none,1h,80,48.75,3743.74,37.44,3285.45,32.85,1.73,1.61,0.409,-1019.95,5,21.49,none,33.66
559,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop1.5_target2_hold16_short_only_none,1h,125,48.80,3325.31,33.25,2588.53,25.89,1.50,1.37,0.238,-608.12,4,23.33,none,33.56
560,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target3_hold8_all_none,1h,70,42.86,4418.28,44.18,3320.52,33.21,1.87,1.59,0.541,-996.99,5,29.11,none,33.42
561,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target1.5_hold16_short_only_none,1h,101,52.48,3395.15,33.95,2425.34,24.25,1.66,1.43,0.297,-677.20,4,17.38,none,33.38
562,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold32_all_volume>1.4xSMA30,1h,65,44.62,3575.12,35.75,3015.74,30.16,1.87,1.69,0.485,-786.79,5,27.12,volume>1.4xSMA30,33.32
563,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.5_target2_hold32_short_only_none,1h,90,51.11,3727.39,37.27,3192.56,31.93,1.74,1.60,0.362,-675.64,5,21.61,none,33.30
564,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold24_short_only_volume>1.25xSMA30,1h,32,53.13,3086.80,30.87,2200.00,22.00,2.73,1.99,0.859,-576.75,5,30.78,volume>1.25xSMA30,33.25
565,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold48_short_only_volume>1.25xSMA30,1h,32,53.13,3086.80,30.87,2200.00,22.00,2.73,1.99,0.859,-576.75,5,30.78,volume>1.25xSMA30,33.25
566,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold96_short_only_volume>1.25xSMA30,1h,32,53.13,3086.80,30.87,2200.00,22.00,2.73,1.99,0.859,-576.75,5,30.78,volume>1.25xSMA30,33.25
567,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.5_target2.5_hold32_short_only_none,1h,90,47.78,3824.51,38.25,3279.40,32.79,1.69,1.56,0.372,-686.85,5,26.61,none,33.17
